national_id,name,description
1,Bulbasaur,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
1,Bulbasaur,There is a plant seed on its back right from the day this Pokemon is born. The seed slowly grows larger.
1,Bulbasaur,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
1,Bulbasaur,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger."
1,Bulbasaur,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
1,Bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon.
1,Bulbasaur,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
1,Bulbasaur,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
1,Bulbasaur,"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow."
1,Bulbasaur,"For some time after its birth, it grows by gaining nourishment from the seed on its back."
1,Bulbasaur,There is a plant seed on its back right from the day this POKeMON is born. The seed slowly grows larger.
1,Bulbasaur,"BULBASAUR can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger."
1,Bulbasaur,"While it is young, it uses the nutrients that are stored in the seeds on its back in order to grow."
1,Bulbasaur,"It carries a seed on its back right from birth. As it grows older, the seed also grows larger."
1,Bulbasaur,The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.
1,Bulbasaur,"It can go for days without eating a single morsel. In the bulb on its back, it stores energy."
1,Bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKeMON.
1,Bulbasaur,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKeMON.
2,Ivysaur,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom."
2,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
2,Ivysaur,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
2,Ivysaur,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
2,Ivysaur,"There is a bud on this Pokemon's back. To support its weight, Ivysaur's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon."
2,Ivysaur,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
2,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
2,Ivysaur,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
2,Ivysaur,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom."
2,Ivysaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
2,Ivysaur,The bulb on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
2,Ivysaur,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
2,Ivysaur,"If the bud on its back starts to smell sweet, it is evidence that the large flower will soon bloom."
2,Ivysaur,The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.
2,Ivysaur,"There is a bud on this POKeMON's back. To support its weight, IVYSAUR's legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it's a sign that the bud will bloom into a large flower soon."
2,Ivysaur,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
2,Ivysaur,"To support its bulb, IVYSAUR's legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower."
2,Ivysaur,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower's coming bloom."
2,Ivysaur,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower."
3,Venusaur,The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy.
3,Venusaur,The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy.
3,Venusaur,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokemon."
3,Venusaur,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
3,Venusaur,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power."
3,Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
3,Venusaur,There is a large flower on Venusaur's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.
3,Venusaur,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokemon."
3,Venusaur,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
3,Venusaur,"As it warms itself and absorbs the sunlight, its flower petals release a pleasant fragrance."
3,Venusaur,There is a large flower on VENUSAUR's back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.
3,Venusaur,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
3,Venusaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
3,Venusaur,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power."
3,Venusaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
3,Venusaur,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
3,Venusaur,VENUSAUR's flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.
3,Venusaur,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokemon."
3,Venusaur,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power."
4,Charmander,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
4,Charmander,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
4,Charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKeMON becomes enraged, the flame burns fiercely."
4,Charmander,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
4,Charmander,"If it's healthy, the flame on the tip of its tail will burn vigorously, even if it gets a bit wet."
4,Charmander,"The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly."
4,Charmander,"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."
4,Charmander,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.
4,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
4,Charmander,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.
4,Charmander,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
4,Charmander,"The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly."
4,Charmander,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
4,Charmander,"The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly."
4,Charmander,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
4,Charmander,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
4,Charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged."
4,Charmander,"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."
4,Charmander,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokemon becomes enraged, the flame burns fiercely."
5,Charmeleon,"CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
5,Charmeleon,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
5,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
5,Charmeleon,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.
5,Charmeleon,"When it swings its burning tail, it elevates the air temperature to unbearably high levels."
5,Charmeleon,"Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color."
5,Charmeleon,"In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars."
5,Charmeleon,"It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins."
5,Charmeleon,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
5,Charmeleon,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars."
5,Charmeleon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
5,Charmeleon,"Tough fights could excite this POKeMON. When excited, it may blow out bluish-white flames."
5,Charmeleon,"Tough fights could excite this Pokemon. When excited, it may breathe out bluish-white flames."
5,Charmeleon,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
5,Charmeleon,"It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins."
5,Charmeleon,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
5,Charmeleon,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
5,Charmeleon,"When it swings its burning tail, it elevates the air temperature to unbearably high levels."
5,Charmeleon,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.
6,Charizard,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies."
6,Charizard,It uses its wings to fly high. The temperature of its fire increases as it gains experience in battle.
6,Charizard,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
6,Charizard,"When this Pokemon expels a blast of superhot fire, the red flame at the tip of its tails burns more intensely."
6,Charizard,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
6,Charizard,"Its wings can carry this Pokemon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
6,Charizard,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
6,Charizard,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a whitish-blue color."
6,Charizard,"When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely."
6,Charizard,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
